name,score
discretize_3_8,100.0
discretize_3_8,91.0
discretize_3_8,100.0
discretize_3_8,2.0
discretize_3_8,100.0
discretize_3_8,88.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,26.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,1.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,63.0
discretize_3_8,100.0
discretize_3_8,47.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,3.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,2.0
discretize_3_8,16.0
discretize_3_8,5.0
discretize_3_8,28.0
discretize_3_8,100.0
discretize_3_8,51.0
discretize_3_8,100.0
discretize_3_8,54.0
discretize_3_8,58.0
discretize_3_8,34.0
discretize_3_8,100.0
discretize_3_8,59.0
discretize_3_8,100.0
discretize_3_8,86.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,15.0
discretize_3_8,100.0
discretize_3_8,88.0
discretize_3_8,0.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,18.0
discretize_3_8,100.0
discretize_3_8,47.0
discretize_3_8,100.0
discretize_3_8,95.0
discretize_3_8,76.0
discretize_3_8,20.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,79.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,95.0
discretize_3_8,44.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,41.0
discretize_3_8,11.0
discretize_3_8,100.0
discretize_3_8,41.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,40.0
discretize_3_8,100.0
discretize_3_8,43.0
discretize_3_8,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,38.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,19.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,14.0
discretize_3_5,46.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,23.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,73.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,0.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,24.0
discretize_3_5,8.0
discretize_3_5,94.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,5.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
